BTCUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
06/20/2025 00:00,104770,104930,104432,104730,-40,-0.04,
06/19/2025 20:00,104262,104960,104162,104670.2,408.2,0.39,
06/19/2025 16:00,104107.9,104920,103949.9,104262.6,154.7,0.15,
06/19/2025 12:00,104774.7,104960,104087.1,104220,-554.7,-0.53,
06/19/2025 08:00,104640.4,105170,104640.4,104810,169.6,0.16,
06/19/2025 04:00,105129.91,105340,104640.3,104640.4,-489.51,-0.47,
06/19/2025 00:00,104895.3,105330,104499.9,105122,226.7,0.22,
06/18/2025 20:00,103920,105270,103648,104891.9,971.9,0.93,
06/18/2025 16:00,104804.1,104970,103538,103820.1,-984.0,-0.95,
06/18/2025 12:00,104850.2,105430,103857,104950,99.8,0.10,
06/18/2025 08:00,104969.9,105390,104208.5,104841,-128.9,-0.12,
06/18/2025 04:00,105194.9,105650,104729.9,104990,-204.9,-0.20,
06/18/2025 00:00,104564,105380,104388.6,105203,639,0.61,
06/17/2025 20:00,104700,104960,104232,104740,40,0.04,
06/17/2025 16:00,104257,105390,103375.7,104760,503,0.48,
06/17/2025 12:00,105710,105900,104179,104320,-1390,-1.33,
06/17/2025 08:00,106754.9,106870,105536.3,105645.5,-1109.4,-1.05,
06/17/2025 04:00,107600,107740,106520,106806,-794,-0.74,
06/17/2025 00:00,106800,107780,106180,107607,807,0.75,
06/16/2025 20:00,108720,109030,106755.9,106860,-1860,-1.74,
06/16/2025 16:00,107530,108930,107312,108640.4,1110.4,1.02,
06/16/2025 12:00,106970,107830,106512.4,107456.1,486.1,0.45,
06/16/2025 08:00,107160,107360,106598.2,106890,-270,-0.25,
06/16/2025 04:00,106120,107340,105883,107076,956,0.89,
06/16/2025 00:00,105581.4,106140,105010,105935,353.6,0.33,
06/15/2025 20:00,105315,105770,104529,105740,425,0.40,
06/15/2025 16:00,105589,105930,105118,105520,-69,-0.07,
06/15/2025 12:00,104955.8,105970,104955.8,105594,638.2,0.60,
06/15/2025 08:00,105610,105610,104882.1,105110,-500,-0.48,
06/15/2025 04:00,105521.2,106250,105240.1,105451.6,-69.6,-0.07,
06/15/2025 00:00,105451.1,105860,105314,105491.1,40.0,0.04,
06/14/2025 20:00,104780,105650,104377,105451.1,671.1,0.64,
06/14/2025 16:00,104824.3,105150,104419.1,104711.2,-113.1,-0.11,
06/14/2025 12:00,105190,105220,104714.2,104840.8,-349.2,-0.33,
06/14/2025 08:00,105111.2,105200,104884,105095.4,-15.8,-0.02,
06/14/2025 04:00,105300,105456,104837,105093.4,-206.6,-0.20,
06/14/2025 00:00,106099,106251,105240.1,105243.4,-855.6,-0.81,
06/13/2025 20:00,105153,106210,105030,106113.4,960.4,0.91,
06/13/2025 16:00,105479.6,106027,104685.9,105161,-318.6,-0.30,
06/13/2025 12:00,105026.3,105799,104110,105410,383.7,0.36,
06/13/2025 08:00,104888,105487,104400,105093,205,0.20,
06/13/2025 04:00,104310,104999,103800,104830,520,0.50,
06/13/2025 00:00,105756,105756,102720,104374.2,-1381.8,-1.32,
06/12/2025 20:00,106770,106997,105700,105756,-1014,-0.96,
06/12/2025 16:00,107010,108459.9,106710,106770,-240,-0.22,
06/12/2025 12:00,106931.2,107836,106580,107010,78.8,0.07,
06/12/2025 08:00,107600,107852,106900,106931.2,-668.8,-0.63,
06/12/2025 04:00,107830,107999,107310,107635,-195,-0.18,
06/12/2025 00:00,108701.8,108823,107650,107858.5,-843.3,-0.78,
06/11/2025 20:00,108787,109249,108020,108669,-118,-0.11,
06/11/2025 16:00,109680,109840.4,108410,108804,-876,-0.81,
06/11/2025 12:00,109243.5,110405.1,108990,109670,426.5,0.39,
06/11/2025 08:00,109449,109672.5,109140,109251,-198,-0.18,
06/11/2025 04:00,109725.3,109764,109290,109380,-345.3,-0.32,
06/11/2025 00:00,110273.5,110283,109450,109750,-523.5,-0.48,
06/10/2025 20:00,109537,110291,109180,110273.5,736.5,0.67,
06/10/2025 16:00,109032.4,110399,108500,109550,517.6,0.47,
06/10/2025 12:00,109550.5,109903,108330,109041,-509.5,-0.47,
06/10/2025 08:00,109247.7,109868,109062,109550.5,302.8,0.28,
06/10/2025 04:00,109570,109784,109116.4,109260,-310,-0.28,
06/10/2025 00:00,110279.9,110350,109397.5,109552.3,-727.6,-0.66,
06/09/2025 20:00,108670,110680,108505.7,110290,1620,1.47,
06/09/2025 16:00,107726,108830,107676,108569.8,843.8,0.78,
06/09/2025 12:00,107840,108070,106925,107760,-80,-0.07,
06/09/2025 08:00,105576.7,107870,105518.9,107800,2223.3,2.06,
06/09/2025 04:00,105698.5,105780,105371,105650,-48.5,-0.05,
06/09/2025 00:00,105754.1,106040,105361.5,105740,-14.1,-0.01,
06/08/2025 20:00,106299.9,106530,105594,105754.1,-545.8,-0.52,
06/08/2025 16:00,106022,106420,105944.2,106355,333,0.31,
06/08/2025 12:00,105730,106170,105545,106090,360,0.34,
06/08/2025 08:00,105484,105755,105052,105727,243,0.23,
06/08/2025 04:00,105610,105720,105413,105489,-121,-0.11,
06/08/2025 00:00,105654.5,105870,105413.8,105610,-44.5,-0.04,
06/07/2025 20:00,105779,105990,105580.4,105654.5,-124.5,-0.12,
06/07/2025 16:00,105565,105980,105332.7,105737.1,172.1,0.16,
06/07/2025 12:00,105167.5,105860,105152.8,105623,455.5,0.43,
06/07/2025 08:00,104933.5,105370,104763.4,105260,326.5,0.31,
06/07/2025 04:00,105000,105440,104714.2,105000,0,0.00,
06/07/2025 00:00,104317.9,105010,103926.4,104963,645.1,0.61,
06/06/2025 20:00,104293.3,104694,104236.8,104440,146.7,0.14,
06/06/2025 16:00,105167.4,105385,104143.8,104299,-868.4,-0.83,
06/06/2025 12:00,103939.6,105416,103592.2,105107.3,1167.7,1.11,
06/06/2025 08:00,103187.6,104160,103154.3,104000,812.4,0.78,
06/06/2025 04:00,102550,103630,102400,103196.1,646.1,0.63,
06/06/2025 00:00,101558,102710,101151,102544.4,986.4,0.96,
06/05/2025 20:00,101915,102230,100418,101558,-357,-0.35,
06/05/2025 16:00,104570.2,104624,101636.1,101917,-2653.2,-2.60,
06/05/2025 12:00,104821.6,105957,103900,104559.9,-261.7,-0.25,
06/05/2025 08:00,104563,104959,104350,104819.5,256.5,0.24,
06/05/2025 04:00,104960,105274,104300,104563,-397,-0.38,
06/05/2025 00:00,104745.3,105285,104580,104960,214.7,0.20,
06/04/2025 20:00,104978,105085,104330,104745,-233,-0.22,
06/04/2025 16:00,105220,105533,104790,104830,-390,-0.37,
06/04/2025 12:00,105136.7,105580,104220,105329.4,192.7,0.18,
